run_id,ticker,company,sample_role,construct,condition,condition_label,prompt_file,context_file,context_word_count,output_text_file,raw_json_file,status,provider,model,base_url,temperature,access_time_utc,output_chars,error
RUN-001,WMT,Walmart Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,data/processed/prompts/wmt_inventory_text_prompt.txt,data/processed/retrieval_contexts/wmt_inventory_text_context.txt,629,data/processed/llm_outputs/gemma4_31b_extension/text/wmt_inventory_text_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/wmt_inventory_text_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2990,
RUN-002,WMT,Walmart Inc.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/wmt_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/wmt_inventory_xbrl_context.txt,568,data/processed/llm_outputs/gemma4_31b_extension/text/wmt_inventory_xbrl_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/wmt_inventory_xbrl_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2324,
RUN-003,WMT,Walmart Inc.,bounded_extension,inventory,hybrid,Hybrid retrieval,data/processed/prompts/wmt_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/wmt_inventory_hybrid_context.txt,676,data/processed/llm_outputs/gemma4_31b_extension/text/wmt_inventory_hybrid_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/wmt_inventory_hybrid_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2568,
RUN-004,HD,"Home Depot, Inc.",bounded_extension,inventory,text,Text-based contextual retrieval,data/processed/prompts/hd_inventory_text_prompt.txt,data/processed/retrieval_contexts/hd_inventory_text_context.txt,732,data/processed/llm_outputs/gemma4_31b_extension/text/hd_inventory_text_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/hd_inventory_text_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,3034,
RUN-005,HD,"Home Depot, Inc.",bounded_extension,inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/hd_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/hd_inventory_xbrl_context.txt,569,data/processed/llm_outputs/gemma4_31b_extension/text/hd_inventory_xbrl_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/hd_inventory_xbrl_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2415,
RUN-006,HD,"Home Depot, Inc.",bounded_extension,inventory,hybrid,Hybrid retrieval,data/processed/prompts/hd_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/hd_inventory_hybrid_context.txt,807,data/processed/llm_outputs/gemma4_31b_extension/text/hd_inventory_hybrid_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/hd_inventory_hybrid_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,3154,
RUN-007,CAT,Caterpillar Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,data/processed/prompts/cat_inventory_text_prompt.txt,data/processed/retrieval_contexts/cat_inventory_text_context.txt,511,data/processed/llm_outputs/gemma4_31b_extension/text/cat_inventory_text_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/cat_inventory_text_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2310,
RUN-008,CAT,Caterpillar Inc.,bounded_extension,inventory,xbrl,XBRL-based relational retrieval,data/processed/prompts/cat_inventory_xbrl_prompt.txt,data/processed/retrieval_contexts/cat_inventory_xbrl_context.txt,535,data/processed/llm_outputs/gemma4_31b_extension/text/cat_inventory_xbrl_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/cat_inventory_xbrl_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2367,
RUN-009,CAT,Caterpillar Inc.,bounded_extension,inventory,hybrid,Hybrid retrieval,data/processed/prompts/cat_inventory_hybrid_prompt.txt,data/processed/retrieval_contexts/cat_inventory_hybrid_context.txt,579,data/processed/llm_outputs/gemma4_31b_extension/text/cat_inventory_hybrid_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/cat_inventory_hybrid_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2171,
RUN-010,PFE,Pfizer Inc.,bounded_extension,inventory,text,Text-based contextual retrieval,data/processed/prompts/pfe_inventory_text_prompt.txt,data/processed/retrieval_contexts/pfe_inventory_text_context.txt,624,data/processed/llm_outputs/gemma4_31b_extension/text/pfe_inventory_text_output.txt,data/processed/llm_outputs/gemma4_31b_extension/raw_json/pfe_inventory_text_raw.json,skipped_existing,ollama,gemma4:31b,http://localhost:11434,0.0,2026-05-29T15:57:47.190725+00:00,2869,
